discount_id,Product_Name,Price,Original_Price,Discount%
0,"CHUWI MiniBook X Laptop Tablet 2 In 1 Intel N150 CPU 10.51"" FHD IPS Screen 12GB LPDDR5 512G SSD Windows 11 Notebook 1200*1920 ",474.69,0.0,0.0
1,FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint ,333.76,0.0,0.0
2,Firebat A16 Laptop 16 Inch CPU Intel N5095 16GB RAM SSD 512GB 1TB BT4.2 WiFi5 LPDDR4 Lightweight Business Computer Notebook ,350.55,1125.47,68.0
3,11.6 inch Portable monitor 1366X768 lcd display TFT gaming monitor for pc Raspberry Pi Laptop PS4 Xbox360 switch HDMI-Compatible ,57.59,146.11,60.0
4,BYONE 11.6 Inch Mini Laptop Intel Celeron N4000 8GB RAM 128GB 256GB SSD Wifi Office Study Pink Portable Ultraslim Pocket Laptops ,196.52,337.89,41.0
5,Woman Laptop Windows 10 Office Education Gaming Notebook Pink 15.6“10th Gen Intel Celeron J4125 12G RAM 1T Dual WiFi Narrow Side ,292.38,0.0,0.0
6,Gaming laptops  Intel Core i7-6500U 32GB Ram 2TB SSD Windows 11 Notebooks Backlit Wifi Computer PC Gaming Laptop Computer ,504.38,0.0,0.0
7,ZSUS 2160*1440  14-inch 2K Portable Monitor 60HZ For Laptop XBox PS4 / 5 Switch TV Box Cell Phone PC Extension  Mobile ,97.94,236.99,58.0
8,BYONE 14.1 Inch Laptop Intel N4000 8GB RAM 256GB 512GB SSD Windows 11 Notebook 1366*768 HD LCD Wifi HDMI USB laptop PC ,225.46,426.04,47.0
9,BYONE 11.6 Inch Mini Laptop Intel N4000 Cheap laptop 8GB RAM 256GB SSD Student Office Small Portable Netbook With WIFI Bluetooth ,204.73,305.13,32.0
10,YEPO Gaming laptops  Intel Core i7-6500U 32GB Ram 2TB SSD Windows 11 Notebooks Backlit Wifi Computer PC Gaming Laptop Computer ,384.38,0.0,0.0
11,New Case For ASUS ZenBook 14 UX425 UM425 UX425J UX425JA U4700J Laptop LCD Back Cover Top Rear Lid Front Bezel Palmrest Hinges ,24.04,35.12,31.0
12,"CHUWI MiniBook X Laptop Tablet 2 In 1 Intel N150 CPU 10.51"" FHD IPS Screen 12GB LPDDR5 512G SSD Windows 11 Notebook 1200*1920 ",455.99,0.0,52.0
13,FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint ,392.38,0.0,52.0
14,GPD 2025 WIN 4 32GB Memory RAM 1TB 2TB Hard Disk AMD 8840U HX370 Processor Handheld Gaming Portable Laptop Mini PC Touch Screen ,1308.68,0.0,0.0
15,High Speed Flash Card 1TB Original Storage Card 128GB 256GB Micro TF/SD 512GB Large Capacity Memory Card for Laptops/PC/MAC ,1.87,12.95,85.0
16,High-end Lenovo Laptop ThinkPad P15v Gen 3 2022 15.6 Inch FHD i7-12700H i7-11800H 10750H 64GB Ram 4TB SSD Nvidia Pro Graphics ,5704.38,5713.24,1.0
17,"14"" Business Laptop Intel N3700 16GB RAM384GB Storage Ultra thin body Gaming laptops Windows 11 pc gaming  256GB/512GB/1TBsilver ",367.68,0.0,0.0
18,Lenovo Fashion Business ThinkBook Plus Laptop With i7-1160G7 8GB 512GB SSD Dual 13.3 Inch Led Backlight +10.8 Inch E-ink Screen ,5133.06,5141.92,1.0
19,New Laptop Screen for Macbook A1706 A1708 A1989 A2159 A2289 A2251 A1932 A2179 A1502 A1466 A2337 A2338 A1466 LCD Display Assembly ,204.21,213.81,4.0
20,180°Rotating 16.0'' IPS Screen 32G 128G-2TB Laptop N95 Windows 11 Notebook  Business Office Slim Touch ID RGB 3480*2160 4Kscreen ,380.99,0.0,0.0
21,Adreamer Laptop 13.3 Inch Portable Laptops Low Price With Intel CPU 2.5K FHD IPS 8GB 1T SSD  2.5K FHD Display Notebook ,273.47,627.39,56.0
22,Genmachine Laptop AMD Ryzen™ 5 4600H 15.6 Inch LPDDR4 RAM M.2 NVME SSD Business Gaming Laptops Computer Notebook Radeon Graphics ,670.38,0.0,0.0
23,Portable SSD 1TB High-speed Mobile Solid State Drive 500GB External Storage Decives Type-C USB 3.1 Interface for Laptop/PC/ Mac ,12.58,0.0,0.0
24,FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint ,333.76,0.0,0.0
25,GPD DUO 13 Inch Dual Touch Screen 32GB 64GB RAM Memory 1TB 2TB Hard Disk SSD CPU AMD HX 370 Processor Portable Business Laptop ,2910.99,0.0,0.0
26,Adreamer LeoBook 13 Laptop 13.3-inch Intel Celeron N4020 8GB RAM 1T SSD Windows 10 Computer Office School Notebook PC ,291.81,501.11,41.0
27,New External Hard Drive 1TB Portable SSD HARD DISK 2TB High-speed External Solid State Drive Mobile Hard Drive for Laptop Mac PC ,12.58,0.0,0.0
28,YSJMNPC New AMD Ryzen™ 3 3250U Laptop 16 Inch IPS Screen Gaming Laptop 2*DDR4 MAX 64GB 2*SSD Windows11 Fingerprint Notebook WIFI ,407.61,694.13,41.0
29,DDR4 32GB M.2 SSD 512GB 1TB Ultrabook Metal Computer with 2.4G/5.0G Bluetooth Ryzen R7 4700U windows 10 Pro gaming laptop ,652.99,0.0,0.0
30,Best High-end HUAWEI Laptop PC MateBook X Pro 2021 New With 13.9 Inch 3000x2000 CNC Touch Screen i7-1165G7 Share Hidden Camera ,3471.82,3480.68,1.0
31,2.5K OLED 10.5″ Portable Monitor Touchscreen 2560x1600 High-end Portable Screen 100% DCI-P3 1MS for Laptop Phone PS4 Xbox Switch ,337.68,0.0,0.0
32,World's First Foldable PC Lenovo ThinkPad X1 Fold Laptop+Tablet 13.3 Inch 2048x1536 OLED Touch i5-L16G7 Type-C WiFi 6 5G WiFi ,8615.75,8624.61,1.0
33,GPD WIN Max 2 2025 10.1 Inch AMD AI 9 HX 370/8840U Windows11 Gaming PC Laptop Notebook Portable Game Computer 64GB RAM 2TB Nvme ,2058.43,4134.58,50.0
34,SZYIYUN Mini Portable Laptop 10.1 inch Intel N4120 Quad Core 8GB RAM 1TB SSD 2.6GHz Netbook WIFI Windwos 10 11 Notebook Computer ,469.68,0.0,0.0
35,Nuroum V11 High Quality 1080p 60fps Full Hd Plug And Play Computer Usb Web Camera Mini Webcam 2K For Pc Laptop With Microphone ,18.88,29.96,36.0
36,Xiaomi REDMI Book Pro 14 2025 Laptop Ultra 7 255H/Ultra 5 225H Intel Arc Graphics 32GB LPDDR5X 1T SSD 14-inch 120Hz 2.8K Screen ,1546.38,0.0,0.0
37,15.6 Inch Laptop Intel Core i9-12900H/i9-10885H Windows 11 Por 2*DDR4 2*M.2 SSD Ultrabook Computer Fingerprint Unlock WIFI5 BT ,574.2,971.77,40.0
38,Latest High-end Lenovo Laptop ThinkPad neo 14 i7-12700H i5-12500H 16GB LPDDR5 RTX2050 4G IRIS Xe Graphics 14Inch 2.2K 16:10 FHD ,3599.5,3608.36,1.0
39,M.2 990 pro 4TB 2TB 1TB 2280  Hard drive disk NVME 2.5 inch ssd TLC 5600MB/s internal Solid State Drives for laptop and desktop ,18.38,0.0,0.0
40,"Intel® Processor N95 PC+PAD 14"" IPS Touch Scree Windows 11 Ram 16GB Rom 128G-2TB SSD Computer Wifi BT Gaming Laptop ",486.46,900.58,45.0
41,Lenovo Laptop YOGA Pro14s 14.5-Inch 3K 120Hz Touch Screen Intel I5-13500H/I9-13900H16G LPDDR5 512G/1TB SSD RTX4060 Notebook PC ,1504.68,0.0,0.0
42,Win11 N95 Laptop brand new 10.5inch touchscreen RAM 16GB 32GB SSD 1TB 2TB handheld game console personal home laptops ,503.89,884.04,43.0
43,M.2 990 pro 4TB 2TB 1TB 2280  Hard drive disk NVME 2.5 inch ssd TLC 5600MB/s internal Solid State Drives for laptop and desktop ,24.99,0.0,0.0
44,Xiaomi Book Pro 16 Touchscreen Laptop 16 Inch 4K OLED Screen Notebook i5-1240P/ i7-1260P 16GB 512GB NVIDIA RTX 2050 Notebook PC ,1549.99,0.0,0.0
45,GPD WIN Mini AMD 7840U 16GB 32GB 64GB RAM 512GB 1TB 2TB SSD 7-inch WIN11 System Pocket Mini PC Laptop Game Player Console ,1828.99,0.0,0.0
46,CRELANDER X16 Double Screen Laptops 16 Inch + 14 Inch Touch Screen Intel 10th Windows 11 Portable PC Notebook Computer ,1203.43,1683.75,28.0
47,M.2 990 pro 4TB 2TB 1TB  Hard drive disk NVME 2.5 inch ssd TLC 5600MB/s internal Solid State Drives for laptop and desktop ,22.38,22.38,0.0
48,Laptop 16 Inch Intel Core I9-11900H 32 GB DDR4 2TB SSD Fingerprint Unlock 8 Cores 16 Threads 4.9 GHz Wifi6 HD Camera Computer ,804.71,1627.15,50.0
49,New 2025 Versio GPD WIN Mini  AI 9 HX 370 7 Inch Handheld GamePad Tablet 64GB RAM 2TB SSD Pocket Mini Laptop Game Player Console ,1236.38,0.0,0.0
50,Laptop 13.3 Inch Intel Celeron N4000 360° flips HD Camera Touchscreens 6GB RAM 2TB SSD 4000 mAH 2.6 GHz Lightweight DDR4 Tablet ,353.56,724.85,51.0
51,Lenovo Hard Disk Mobile SSD E60 2TB 6TB 8TB 256TB USB 3.1 HD External Hard for Laptop PS5 Mobile Hard Disk HDD Storage Devices ,20.79,0.0,0.0
52,Xiaomi REDMI Book Pro 14 2025 Laptop Ultra 7 255H/Ultra 5 225H Intel Arc Graphics 32GB LPDDR5X 1T SSD 14-inch 120Hz 2.8K Screen ,1546.38,0.0,0.0
53,Laptop Intel N5095 15.6 Inch 32GB RAM 2TB SSD DDR4 Windows 11 Fingerprint Unlock Backlit Keypad HD Camera BT4.2 Computer PC ,355.78,729.29,51.0
54,NVIDIA MX450 i7 1195g7 DDr4 32G RAM 2TB SSD Laptop 15.6 Inch Laptop Core Window11 Pro 1920*1080 Screen Portable Gaming Notebook ,678.18,1374.09,50.0
55,SSD 4TB 120GB 240GB 480GB 960GB Internal Sata3 Solid State Drive 2.5 128GB 256GB 500GB 1TB 2TB SSD for PC Laptop ,1.46,29.74,95.0
56,New 13th Gen Gaming Laptop Intel Core i7 13620H 16 Inch IPS Screen 2*DDR4 MAX 64GB 2*SSD Windows11 Fingerprint Notebook WIFI BT ,740.38,0.0,0.0
57,Lenovo Legion Y9000P 2024 E-sports Gaming Laptop Intel Core i9-14900HX RTX 4060/RTX 4090 16 inch 2.5K 240Hz Game Notebook PC ,2922.1,4509.18,35.0
58,32G RAM 128G-2TB SSD N95 Handhald video Game Console 10.5 inch mini laptop Game Player wifi Detachable Gamepad touch screen PC ,454.25,798.47,43.0
59,256TB High Speed Hard Disk External Hard Drive Portable SSD 128TB Solid State USB 3.1 Type-C Interface Storage Device for Laptop ,73.68,0.0,0.0
60,15.6inch Gaming Laptop Intel Core I7-9750H 64GB RAM 2TB SSD DDR4 Win 11 5000mAH Camera Fingerprint Unlocking Portable Computer ,627.82,1273.37,50.0
61,Mini Pocket Gaming Tablets10.5inch N95 Magnetic Grip 32GB RAM 2TB SSD DDR4 Window11 100% sRGB Color Gamut Touchscreen laptop ,745.68,0.0,0.0
62,Laptop 14 Inch Intel Celeron N4000 6GB RAM 2TB SSD DDR4 Win 180° Fold Wifi6 3850 mAH PC 1366*768 Screen HDMI Slim Computer PC ,319.59,656.9,51.0
63,"MeLE Fanless Mini PC N100 Micro Desktop Computer LPDDR4X 16GB 512GB 2.4/5G WiFi,Dual HDMI,4K,USB-C,IoT,Quieter4C ",308.71,423.43,27.0
64,Mini Laptop 7inch Intel Celeron N4000 12GB RAM 2TB SSD HD Camera Trouchscreen HDMI DDR4 Window11 Portable Metal Notebook PC ,358.0,733.74,51.0
65,"XIAOMI Laptop Redmi Book 16 2024 Refresh RAM 16GB SSD 512GB Intel i5 12450H 13420H 16"" Inch FHD Notebook Ultrabook Computer PC ",912.65,1151.89,20.0
66,GPD 2025 WIN 4 32GB Memory RAM 1TB 2TB Hard Disk AMD 8840U HX370 Processor Handheld Gaming Portable Laptop Mini PC Touch Screen ,1298.94,2617.07,50.0
67,Factory Direct Sale WDX0R 42WH 11.4V 3684Mah WDXOR Laptop Battery for DELL 15-5565 5567 7460 7560 Batteries ,20.18,0.0,0.0
68,"XIAOMI Redmi Book Pro 16 2024 Laptop Intel Ultra5 125H 7 155H RAM 32GB SSD 1TB 16""Inch 3.1K 165Hz Notebook Ultrabook Computer PC ",1378.37,1541.37,10.0
69,2023 HUAWEI MateBook 14s Laptop i5-13500H/i7-13700H/i7-13900H 16GB/32GB 512GB Netbook 14.2-inch 2.5K 120Hz TouchScreen SSD WiFi6 ,1598.28,2678.56,40.0
70,Xiaomi Laptop REDMI Book 16 2025 Intel C5-210H 16GB 512GB 16inch 60Hz Screen Slim Office Notebook ,1329.38,0.0,0.0
71,19V 2.37A 45W 4.0*1.35MM Laptop AC Adapter Charger For Asus Zenbook UX305 UX21A UX32A Series Taichi 21 31 T300LA Cargado Power ,4.3,13.9,69.0
72,Tablet Double-Screen Intel N100 13.5+13.5 inch Laptop 16GB DDR5 2TB SSD HD Camera 9000 mAH 1920*1280 Screen Windows 11 Computer ,635.99,0.0,0.0
73,Laptop Dual Screen Intel Celeron N100 15.6''+7'' 32GB DDR4 2TB SSD Fingerprint Unlock HD Camera Backlit Keypad 3.4 GHz Notebook ,517.57,1052.87,50.0
74,PC 16 inch Intel Core i9-12900H NVIDIA RTX 3060 6G Computer 64GB DDR4 4TB SSD HD Camera WiFi5 BT5.2 Portable Gaming Laptop ,1474.38,0.0,0.0
75,5 in 1 Computer Cleaner Kit Camera Phone Tablet Laptop Screen Cleaning Tools Earphone Cleaning Brush Pen For Airpod Pro 3 2 1 ,1.46,8.43,82.0
76,Intel Processor N100 14 inch 32 GB DDR4 2TB SSD Slim Laptop YOGA 6000 mAh Tablet 2-in-1 1920*1080 Screen Touch 360° Flip Office ,475.86,969.44,50.0
77,FIREBAT A16 16 Inch 100%sRGB Ultra Slim DDR4 16G RAM 1TB 1920*1200 Fingerprint Portable Intel N100 N5095 Notebook Laptop ,452.66,1153.79,60.0
78,"Xiaomi Laptop Redmi G Pro 2024 16"" 2.5K 240Hz 14th Gen Intel Core I9-14900HX 1TB PCIe 4.0 SSD GeForce RTX4060 Gaming Notebook PC ",2064.8,2592.08,20.0
79,"Original Laptop A1708 Motherboard For Macbook Pro 13"" Retina A1708 Logic Board i5 i7 8GB 16GB 2016 2017 ",150.68,0.0,0.0
80,New Arrival Elitebook 640G10 Business Office Laptop 14 Inch Hot Sale/Office Laptop ,769.23,0.0,0.0
81,"For The Sales OfAcer 18"" Predator Helios Neo 18 Gaming Laptop (Black) ",659.34,0.0,0.0
82,"Lenovo YOGA Air 15 Aura AI 15.3"" 2.8K 120Hz Touch Slim Laptop Intel Core Ultra7 258V 32G LPDDR5 8533MHz RAM 1TB NVME PCIE4.0 SSD ",2248.32,2821.48,20.0
83,M.2 4TB 2TB 1TB 500GB 256GB Hard drive disk sata3 2.5 inch ssd TLC 500MB/s internal Solid State Drives for laptop and desktop ,18.18,0.0,0.0
84,Gaming Laptop 16 inch Intel Core i9-12900H NVIDIA RTX 3060 6G Windows 11 64GB DDR4 4TB SSD WiFi5 BT5.2 Portable HD Camera Laptop ,1360.79,2739.31,50.0
85,17.3 inch Intel N5095/N95 Office Laptop 32GB RAM 2TB SSD  Fingerprint Print DDR4 Window11 Backlit Keypad Portable Notebook PC ,484.15,986.01,50.0
86,Gaming Laptop 16inch Intel Core I9-11900H/5805 32 RAM 2TB SSD DDR4 Window11 HD Camera 8 Cores 16 Threads Portable Computer PC ,436.61,890.95,50.0
87,Original Portable SSD 256TB External Hard Drive 1TB External Hard Disk 2TB USB3.1 High Speed Solid State For Laptop/Mac/Phone ,18.89,0.0,0.0
88,Hot For Sale Newly Arrived Strix SCAR G18 i9-13980HX RTX4060 2.5K 240Hz 18inch R .O .G High refresh rate Gaming laptop ,791.21,0.0,0.0
89,Xiaomi Laptop 2024 RedmiBook Pro 14 Core Ultra 5-125H/Ultra 7-155H ARC Graphics 32GB DDR5 1T SSD 14-inch 2.8K 120hz Screen Pc ,1542.08,2423.34,36.0
90,"Available for sale 256GB +1TB storage D-ell Latitude 7390 series laptop computer Lat7390 13.3"" inch notebook ",505.49,0.0,0.0
91,Laptop Lcd Back Cover For Acer Aspire 3 A315-42 A315-42G A315-54 A315-54K A315-56-594W N19C1 LCD Back Cover Front Bezel Hinges ,24.53,34.13,28.0
92,"Lenovo Gaming Laptop LEGION Y7000P (5i Gen 9) 2024 Intel i7 14650HX NVIDIA RTX 4050 4060 4070 16""Inch 2.5K Computer PC Notebook ",1839.35,2311.19,20.0
93,15.6 Inch Notebook Intel Core i9 10880H i7 1165G7 Ultrabook Max 32GB RAM 2TB SSD Gaming Laptops With Backlit Keyboard IPS Screen ,624.18,989.12,36.0
94,"New M15 R7 Gaming Laptop 15.6""QHD 240Hz, i7-12700H 1TB SSD 16GB RAM M14 M17 R7 Gaming PC ",488.4,0.0,0.0
95,Aluminum Alloy Laptop Stand Notebook Tablet Holder Rotatable Foldable Support for Macbook Ipad Pad ,67.99,0.0,0.0
96,Xiaomi REDMI Book 14 Laptop 2025 Core 5 Processor 220H Intel Graphics 16G/32G RAM 1TB SSD 14-inch 2.8K Screen Notebook Slim PC ,1203.42,1534.54,21.0
97,Swift Order! Raze  Blade 18 (2023) Notebook I9-13950HX/16GB/1TB/18'' QHD/RTX4060 Gaming Laptop ,893.04,0.0,0.0
98,"XIAOMI Redmi G Pro 2024 Gaming Laptop NVIDIA Geforce RTX 4060 Intel Core i9-14900HX 16""Inch RAM 16GB SSD 1TB 2.5K 240Hz Gamer PC ",2475.38,0.0,0.0
99,Original Hard Drive 128TB Portable SSD High Speed External Hard Drive 256TB USB3.1 Type-C Solid State Disk for Laptop/Phone/MAC ,18.38,0.0,0.0
100,CRELANDER 14 Inch 2in1 Tablet Pc Touchscreen Notebook Intel N100 Mini PC Windows 11 Laptops Computer With RGB Magnetic keyboard ,673.49,947.7,28.0
101,Mew Xiaomi Laptop Redmi Book Pro 16 Ultra 5/Ultra 7 32GB 1T SSD Intel ARC Graphic 3.1K 165Hz Screen 16-inch Mi Notebook ,1543.56,2389.48,35.0
102,New Arrivals 12th Generation Intel N100 Dual Screen Laptop Gaming Laptop 15.6inch 2K LCD+7inch IPS Touch Screen PC Portable ,479.02,975.76,50.0
103,1200Mbps 5Ghz 2.4Ghz USB 3.0 Wifi Adapter Dual Band MT7612U Wi Fi Antenna Dongle LAN Adaptador Windows /Linux Desktop/Laptop/PC ,13.09,22.69,42.0
104,"CHUWI 15.6"" GemiBook Plus Laptop Intel N100 Graphics for 12th Gen 16GB RAM 512GB SSD 1920*1080P With Cooling Fan Windows 11 ",386.9,1069.63,63.0
105,"OneXPlayer ONEXFLY AMD 8840U PC Handheld Game Laptop 120Hz IPS 1920*1080 Screen 7"" Mini Game Console 3 in 1 Computer Windows 11 ",1759.07,3214.44,45.0
106,"CHUWI FreeBook Laptop Tablet 2 in 1 Intel i3 1215U 12GB LPDDR5 512G SSD Windows 11 Laptop 13.5"" IPS FHD Display WIFI 6 2256*1504 ",514.23,1341.26,61.0
107,Magnetic Selfie Light for iPhone Rechargeable Phone Light Clip LED Video Light for Phone iPad Camera Laptop Vlog Tiktok Makeup ,20.72,38.32,45.0
108,Xiaomi Redmi Book Pro 15 Laptop Ryzen R5-7640HS/R7-7840HS AMD 780M/760M 16G RAM 512G/1T 15.6Inch 3.2K 120Hz New Mi Notebook ,1212.68,0.0,0.0
109,Xiaomi Redmi Book 14 Laptop Intel i5-13420H 16G 512G/1T SSD 14Inch 2.2K 60Hz Screen 38W Mi Portable Office Notebook ,1156.38,0.0,0.0
110,Xiaomi Mi Laptop Redmi Book 14 Intel I5-12500H/i7-12700H 16G RAM 512G SSD 14Inch 2.8K 120Hz Screen Portable Office Notebook ,1237.38,0.0,0.0
111,Brand New A2681 Display For Macbook Air Retina 13.6 Inch 2022 Year Laptop LCD Screen Glass Panel Assembly Replacement Parts ,199.38,208.98,4.0
112,Lenovo Xiaoxin Pro 14 laptop 2024 Ryzen 7 8845H /8745H RAM 24GB/32GB LPDDR5X 1T SSD 14-inch  120Hz Screen Notebook Ultrabook PC ,1656.23,2485.21,33.0
113,"NEW OLED Dual Screen Touch Laptop, Intel Core i7-1355U, 16GB Memory, 512GB SSD, Book 9i, 2-in-1, 13.3"", 2.8K ",610.5,0.0,0.0
114,Brand New Authentic Surfaces Pro 8 2 in 1 Laptop 3GHz 64gb 1TB Win11Home 13inch ,293.04,0.0,0.0
115,NEW For ThinkBook 14 G2 ARE ITL For ThinkBook 14 G3 ACL ITL 14 G4 IAP Top Cover/Bezel/Upper/Bottom LCD Hinges Parts Replace ,21.99,0.0,0.0
116,Xiaomi Redmi Book14 Laptop Intel i5-12500H/i5-12450H/i7-12700H 16G RAM 512GB SSD 14 Inch 2.8K 120Hz Screen Notebook PC ,1054.38,0.0,0.0
117,"Gaming Laptop 9TH GEN Intel CORE I9-9900K GEFORCE RTX 2080 8GB GDDR6 17.3"" FHD ",805.86,0.0,0.0
118,14 inch Touch Screen Laptop Intel N95 Processor Gaming Laptop DDR4 16GB 1TB SSD Notebook Computer ,497.7,1013.12,50.0
119,80W/120W 8 Ports Charger Digital Display Desktop USB Type C With Wirelss Charger PD QC3.0 Quick Charger For Laptop Tablet Phone ,64.38,0.0,0.0
120,Laptop Honor X14 Plus 2024 R7-8845HS 16GB/32GB RAM 512G/1T SSD 512G 2.8K 120Hz Screen Notebook Win11 Pro ,1254.06,1942.94,35.0
121,Lenovo Legion Y9000K 2023 Esports Laptop i9-13980HX 64G 2T RTX4090 3.2k Mini LED Screen 16-inch 165Hz Game Notebook ,8858.62,12490.45,29.0
122,INSTANT DELIVERY A-ASUS ZenBook Pro Duo UX581 Laptop 15.6 4K UHD NanoEdge Touch Display Intel Core i9-10980HK 64GB RAM 1TB SSD ,1205.25,0.0,0.0
123,VEVOR Pure Sine Wave Power Inverter 12V DC to 120V AC Aluminum Alloy LCD Screen & LED Indicators for Powering Laptop Fan Grinder ,238.89,412.91,42.0
124,NEW ARRIVAL Microsofts Surface Pro 8 2 in 1 Laptop 3GHz 64gb 1TB Win11 Home 13 inch Tablets ,976.8,0.0,0.0
125,"Lenovo Legion R9000P E-sports Gaming Laptop 16"" Notebook  AMD R9 7945HX RTX4060 2.5K 240Hz 100% sRGB 500nits Game Notebook PC ",2621.21,3287.59,20.0
126,"Authentic Alienwares Area 51m Laptop, 17.3 9th Gen Intel Core I9-9900K, 32GB RAM, 2 X 256GB SSD (R0) + 1tb Sshd ",683.76,0.0,0.0
127,2024 Waterproof 17/20 Inch Laptop Backpack Men Airplane Travel Backpack Women Oxford Rucksack Male School Bag modern Mochila ,59.14,72.59,18.0
128,Honor MagicBook Art 14 Snapdragon Edition 1kg Ultra Thin Laptop X Elite 32G 1T 3.1K Eye Screen Notebook ,1947.9,2574.68,24.0
129,BEST SALES ORIGINAL New Zenbook PRO DUO Dual screen i9-13900H RTX4050 2.8K 120Hz 18inch High refresh rate Gaming laptop ,564.44,0.0,0.0
130,Alienwares Area 51M Core i9-10900K 1TB HDD + 512GB SSD 17.3 Inch Gaming Laptop ,976.8,0.0,0.0
131,19V 2.37A 45W 3.0*1.1MM Laptop Adapter Charger For Acer Aspire S7 391 V3-371 Switch12 PA-1450-26 A13-045N2A 547H Chromebook 11 ,7.9,17.5,54.0
132,Xiaomi Laptop Redmi Book Pro 15 Ryzen R7-7840HS/R7 6800H 16G RAM 512G/1T 15.6Inch 3.2K 120Hz New Mi Notebook ,1096.94,1383.18,20.0
133,NEW AS US Zen-Book Pro Duo UX581 Laptop 15.6 4K UHD Nano-Edge Touch Display Intel Core i9-10980HK 32GB RAM 1TB SSD ,657.39,0.0,0.0
134,"Authentic Alienwares Area 51m Laptop, 17.3 9th Gen Intel Core I9-9900K, 32GB RAM, 2 X 256GB SSD (R0) + 1tb Sshd ",464.71,0.0,0.0
135,Gaming Laptop Cooling CPU GPU Fan For Gigabyte G5 KF KE GE MF G5KF G5KE G5GE G5MF 2023 FPP6 DFS5K22305283Q FPP7 DFS5L32G16486P ,20.35,29.21,30.0
136,"Brand new Dell 16 plus 7630 laptop, Intel Core i7 13700h 16 16 10 2.5k screen, 16GB RAM ",610.5,0.0,0.0
137,"FRESH&CLEAN New Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX ",475.21,0.0,0.0
